ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
APA,31.85,80.38,48.35,1.643,-25.41,0.3152,-0.083,1.509,7.4,0.71,11127.0,10.0,5.635,5.0,5.0,6.69,HIGH,Energy,2026-03-04,Energy_batch1
BKR,62.54,48.87,31.74,1.499,-16.33,0.1889,-0.391,2.013,23.4,0.88,60164.0,4.283365200764818,6.542143948766466,5.0,5.0,5.25,MODERATE,Energy,2026-03-04,Energy_batch1
CVX,188.77,29.78,22.2,1.604,-14.84,0.1413,-0.294,1.751,28.1,0.66,371940.0,1.0,5.894615384615386,5.0,5.0,4.07,MODERATE,Energy,2026-03-04,Energy_batch1
COP,118.52,35.24,30.94,1.355,-16.12,0.1663,-0.244,0.997,18.2,0.28,141364.0,4.008030592734226,2.988501564660505,5.0,5.0,4.1,MODERATE,Energy,2026-03-04,Energy_batch1
CTRA,30.9,20.84,29.63,1.008,-17.98,0.1185,-0.386,0.996,14.1,0.35,23260.0,3.5571701720841298,3.1478505931154936,5.0,5.0,4.01,MODERATE,Energy,2026-03-04,Energy_batch1
DVN,44.0,32.05,36.18,1.119,-22.39,0.1607,-0.172,1.598,10.4,0.62,26975.0,5.811472275334608,4.92010989010989,5.0,5.0,5.22,MODERATE,Energy,2026-03-04,Energy_batch1
FANG,177.53,25.88,34.19,1.095,-17.93,0.1486,-0.224,1.306,30.8,0.57,50632.0,5.126577437858508,6.6943093661305575,5.0,5.0,5.55,MODERATE,Energy,2026-03-04,Energy_batch1
EOG,128.01,8.72,26.92,0.633,-18.51,0.0676,-0.156,1.175,14.0,0.43,69355.0,2.624474187380498,3.62784913761735,5.0,5.0,3.88,MODERATE,Energy,2026-03-04,Energy_batch1
EQT,61.61,24.68,34.75,1.081,-18.39,0.1491,-0.455,0.971,18.5,0.72,38274.0,5.319311663479923,5.594504039007351,5.0,5.0,5.27,MODERATE,Energy,2026-03-04,Energy_batch1
EXE,107.99,10.62,32.2,0.664,-21.04,0.0849,-0.239,1.194,14.0,0.47,25453.0,4.441682600382411,4.4541121461320135,5.0,5.0,4.67,MODERATE,Energy,2026-03-04,Energy_batch1
